"Date","Price (Close)"
"2018-08-30","6972.53125587433"
"2018-08-29","7026.761509046086"
"2018-08-28","7073.315867932377"
"2018-08-27","6903.876570762448"
"2018-08-26","6687.887218827549"
"2018-08-25","6731.014062241523"
"2018-08-24","6673.607991823546"
"2018-08-23","6520.5695092727365"
"2018-08-22","6356.013614505356"
"2018-08-21","6475.010421437886"
"2018-08-20","6254.8325920635625"
"2018-08-19","6481.185378530065"
"2018-08-18","6399.146178408918"
"2018-08-17","6580.266691324611"
"2018-08-16","6311.378236097398"
"2018-08-15","6271.331545709298"
"2018-08-14","6192.3701624875575"
"2018-08-13","6249.169357619763"
"2018-08-12","6308.708335403284"
"2018-08-11","6239.298029950807"
"2018-08-10","6142.7628210462535"
"2018-08-09","6530.244086109338"
"2018-08-08","6279.181780782273"
"2018-08-07","6709.275926615325"
"2018-08-06","6926.952828303679"
"2018-08-05","7026.361040551244"
"2018-08-04","7006.306355360672"
"2018-08-03","7406.769984280596"
"2018-08-02","7521.23830889794"
"2018-08-01","7594.958458310144"
"2018-07-31","7722.164874503835"
"2018-07-30","8161.499852797072"
"2018-07-29","8192.024525089791"
"2018-07-28","8229.540422393922"
"2018-07-27","8154.842248888981"
"2018-07-26","7922.838731251675"
"2018-07-25","8151.603427047543"
"2018-07-24","8392.926480521604"
"2018-07-23","7713.091631849432"
"2018-07-22","7389.766522662501"
"2018-07-21","7399.451252512507"
"2018-07-20","7325.628550460318"
"2018-07-19","7469.890720224073"
"2018-07-18","7373.711268835717"
"2018-07-17","7314.950971472621"
"2018-07-16","6725.842455967928"
"2018-07-15","6346.700581790258"
"2018-07-14","6246.51901034438"
"2018-07-13","6216.173144978377"
"2018-07-12","6243.7568348149425"
"2018-07-11","6378.299352000012"
"2018-07-10","6298.4750098936265"
"2018-07-09","6659.425927034463"
"2018-07-08","6701.16778321478"
"2018-07-07","6750.234462655218"
"2018-07-06","6599.841501757548"
"2018-07-05","6526.780080247801"
"2018-07-04","6584.309037828624"
"2018-07-03","6506.556366577845"
"2018-07-02","6613.141423020882"
"2018-07-01","6350.117194916551"
"2018-06-30","6385.492545407347"
"2018-06-29","6193.681451233859"
"2018-06-28","5848.663158250733"
"2018-06-27","6135.491617835376"
"2018-06-26","6070.8459447525"
"2018-06-25","6248.476257568646"
"2018-06-24","6148.179338804621"
"2018-06-23","6158.964623457399"
"2018-06-22","6049.584728614917"
"2018-06-21","6717.466309132553"
"2018-06-20","6756.683501354437"
"2018-06-19","6735.15223843805"
"2018-06-18","6705.552484999506"
"2018-06-17","6447.045695917027"
"2018-06-16","6485.210311019783"
"2018-06-15","6389.687401856953"
"2018-06-14","6639.612463751506"
"2018-06-13","6297.914370733632"
"2018-06-12","6537.1506195992015"
"2018-06-11","6875.67472790244"
"2018-06-10","6765.871849892612"
"2018-06-09","7483.888943480919"
"2018-06-08","7605.099770763249"
"2018-06-07","7683.891474419597"
"2018-06-06","7644.5323707416555"
"2018-06-05","7618.402049294491"
"2018-06-04","7482.203958946672"
"2018-06-03","7713.338270936959"
"2018-06-02","7638.394228088486"
"2018-06-01","7512.80266395203"
"2018-05-31","7483.144816799538"
"2018-05-30","7374.396338155535"
"2018-05-29","7457.842581044682"
"2018-05-28","7098.580650129778"
"2018-05-27","7335.832210551843"
"2018-05-26","7329.638860417517"
"2018-05-25","7461.176160386198"
"2018-05-24","7575.868192431908"
"2018-05-23","7501.845672314375"
"2018-05-22","7977.586407321758"
"2018-05-21","8384.277152302071"
"2018-05-20","8525.084543972018"
"2018-05-19","8232.414727421547"
"2018-05-18","8230.586587103006"
"2018-05-17","8057.691352576612"
"2018-05-16","8342.102260782485"
"2018-05-15","8467.583543452483"
"2018-05-14","8668.132713379637"
"2018-05-13","8683.23830564113"
"2018-05-12","8470.571313652055"
"2018-05-11","8404.84180126311"
"2018-05-10","9012.610434386806"
"2018-05-09","9313.466445157039"
"2018-05-08","9181.602846704487"
"2018-05-07","9360.246491820355"
"2018-05-06","9616.1945800461"
"2018-05-05","9820.219363718617"
"2018-05-04","9694.847745086514"
"2018-05-03","9732.99971370745"
"2018-05-02","9229.177784818648"
"2018-05-01","9075.345891840867"
"2018-04-30","9245.453778678953"
"2018-04-29","9411.375704314803"
"2018-04-28","9348.121758389932"
"2018-04-27","8925.947219540983"
"2018-04-26","9273.829242101674"
"2018-04-25","8869.59222649887"
